PaymentID,OrderID,PaymentDate,PaymentAmount,IsSuccessful
56701,90001,11/15/22 7:04,55,Failure
56702,90002,11/1/22 8:07,47,Success
56703,90003,2/15/23 16:28,59,Success
56704,90004,5/26/22 20:38,32,Success
56705,90005,11/22/22 22:40,15,Failure
56706,90006,8/11/22 21:40,13,Failure
56707,90007,5/8/22 10:41,33,Success
56708,90008,2/9/23 15:27,69,Failure
56709,90009,6/23/22 17:58,67,Success
56710,90010,6/25/22 4:11,78,Failure
56711,90011,7/27/22 18:47,61,Failure
56712,90012,6/20/22 3:28,37,Failure
56713,90013,10/6/22 5:00,66,Success
56714,90014,8/6/22 11:29,98,Failure
56715,90015,5/17/22 22:42,79,Failure
56716,90016,8/15/22 7:12,70,Failure
56717,90017,6/12/22 8:47,18,Failure
56718,90018,3/31/23 2:51,17,Failure
56719,90019,1/18/23 3:18,28,Failure
56720,90020,5/1/22 23:53,31,Failure
56721,90021,8/23/22 10:41,88,Success
56722,90022,4/5/23 1:33,29,Failure
56723,90023,1/9/23 22:05,20,Failure
56724,90024,8/25/22 15:01,81,Failure
56725,90025,8/10/22 1:25,80,Success
56726,90026,8/30/22 4:07,36,Failure
56727,90027,10/14/22 4:08,26,Failure
56728,90028,1/19/23 10:48,25,Failure
56729,90029,10/3/22 10:41,92,Success
56730,90030,6/15/22 4:09,88,Failure
56731,90031,9/30/22 15:52,91,Failure
56732,90032,7/4/22 21:32,86,Success
56733,90033,1/14/23 7:28,20,Success
56734,90034,5/18/22 12:07,11,Success
56735,90035,7/20/22 4:48,11,Success
56736,90036,8/7/22 19:04,44,Success
56737,90037,11/10/22 2:19,98,Failure
56738,90038,3/18/23 16:40,41,Failure
56739,90039,4/17/22 21:13,41,Failure
56740,90040,11/12/22 20:13,60,Failure
56741,90041,8/18/22 7:17,79,Success
56742,90042,7/7/22 21:43,93,Failure
56743,90043,5/31/22 5:21,88,Success
56744,90044,9/3/22 0:09,73,Success
56745,90045,4/17/22 7:01,77,Success
56746,90046,7/30/22 6:33,53,Failure
56747,90047,9/9/22 8:28,62,Failure
56748,90048,6/7/22 16:25,76,Success
56749,90049,3/3/23 18:14,58,Failure
56750,90050,11/15/22 14:44,78,Failure
56751,90051,9/8/22 17:32,38,Success
56752,90052,3/27/23 16:23,87,Failure
56753,90053,12/22/22 17:52,83,Failure
56754,90054,5/15/22 17:06,12,Failure
56755,90055,8/23/22 13:37,28,Failure
56756,90056,10/23/22 21:02,30,Failure
56757,90057,3/4/23 2:50,42,Success
56758,90058,5/4/22 19:27,33,Failure
56759,90059,1/24/23 13:38,38,Success
56760,90060,3/20/23 22:13,33,Failure
56761,90061,1/26/23 19:19,36,Success
56762,90062,4/13/22 12:15,23,Success
56763,90063,3/25/23 9:08,56,Success
56764,90064,9/18/22 4:25,65,Failure
56765,90065,1/27/23 18:46,98,Success
56766,90066,5/2/22 16:15,85,Success
56767,90067,9/4/22 16:52,34,Success
56768,90068,9/19/22 10:26,38,Success
56769,90069,10/2/22 23:50,99,Success
56770,90070,5/31/22 19:50,14,Success
56771,90071,1/21/23 9:23,65,Success
56772,90072,7/10/22 8:16,79,Failure
56773,90073,11/9/22 0:09,53,Success
56774,90074,2/14/23 21:02,29,Failure
56775,90075,10/8/22 3:33,37,Failure
56776,90076,7/18/22 14:14,66,Success
56777,90077,6/1/22 11:28,83,Failure
56778,90078,8/25/22 19:34,83,Success
56779,90079,7/10/22 12:03,55,Success
56780,90080,5/24/22 21:39,83,Failure
56781,90081,2/18/23 18:42,100,Failure
56782,90082,9/18/22 22:24,17,Success
56783,90083,9/9/22 13:53,81,Success
56784,90084,10/5/22 8:15,28,Failure
56785,90085,7/21/22 22:14,99,Failure
56786,90086,6/18/22 4:56,16,Success
56787,90087,5/9/22 13:27,46,Failure
56788,90088,4/24/22 12:59,56,Success
56789,90089,12/11/22 21:51,79,Failure
56790,90090,12/28/22 1:16,67,Success
56791,90091,11/29/22 21:43,69,Failure
56792,90092,8/4/22 17:09,60,Failure
56793,90093,6/13/22 19:15,63,Failure
56794,90094,8/7/22 3:27,38,Success
56795,90095,1/12/23 8:16,29,Failure
56796,90096,9/22/22 4:09,24,Success
56797,90097,4/30/22 18:26,94,Failure
56798,90098,2/21/23 8:48,54,Success
56799,90099,1/27/23 4:58,47,Failure
56800,90100,4/1/23 12:38,60,Failure
56801,90101,2/17/23 20:37,93,Failure
56802,90102,12/29/22 1:55,78,Failure
56803,90103,4/12/22 13:41,34,Failure
56804,90104,12/25/22 1:27,38,Success
56805,90105,10/6/22 22:48,21,Failure
56806,90106,4/11/22 21:46,49,Failure
56807,90107,1/1/23 13:08,69,Failure
56808,90108,10/4/22 18:15,46,Success
56809,90109,7/18/22 1:59,94,Failure
56810,90110,11/15/22 10:34,49,Failure
56811,90111,1/30/23 7:46,64,Success
56812,90112,12/12/22 3:31,26,Success
56813,90113,8/7/22 16:23,76,Success
56814,90114,1/12/23 6:23,60,Success
56815,90115,12/23/22 10:08,22,Failure
56816,90116,10/31/22 8:18,56,Failure
56817,90117,3/29/23 3:33,25,Failure
56818,90118,10/18/22 15:41,92,Failure
56819,90119,8/9/22 5:20,65,Failure
56820,90120,11/10/22 22:18,61,Failure
56821,90121,10/28/22 23:12,35,Success
56822,90122,7/8/22 8:52,38,Failure
56823,90123,10/25/22 22:50,38,Success
56824,90124,11/18/22 0:07,10,Failure
56825,90125,8/28/22 11:05,80,Failure
56826,90126,4/22/22 14:47,80,Failure
56827,90127,8/19/22 0:20,84,Success
56828,90128,7/6/22 10:04,27,Success
56829,90129,5/11/22 17:00,71,Success
56830,90130,5/11/22 18:12,48,Failure
56831,90131,12/30/22 21:13,45,Success
56832,90132,7/21/22 10:52,27,Failure
56833,90133,5/7/22 16:04,75,Success
56834,90134,12/9/22 14:24,56,Failure
56835,90135,12/8/22 17:57,75,Success
56836,90136,2/25/23 18:22,69,Failure
56837,90137,4/30/22 19:19,68,Failure
56838,90138,1/23/23 1:23,52,Failure
56839,90139,8/26/22 16:33,30,Success
56840,90140,12/25/22 23:38,55,Success
56841,90141,8/15/22 8:18,26,Success
56842,90142,11/27/22 9:43,72,Success
56843,90143,11/16/22 2:16,93,Success
56844,90144,11/1/22 21:23,92,Failure
56845,90145,5/5/22 9:40,64,Success
56846,90146,5/31/22 15:59,27,Success
56847,90147,4/22/22 17:00,87,Failure
56848,90148,7/25/22 9:23,36,Failure
56849,90149,8/10/22 21:24,92,Success
56850,90150,4/15/22 1:35,54,Success
56851,90151,9/15/22 4:25,68,Success
56852,90152,3/23/23 1:55,95,Failure
56853,90153,8/23/22 5:59,52,Success
56854,90154,11/1/22 0:06,21,Failure
56855,90155,9/17/22 8:56,46,Failure
56856,90156,11/23/22 0:58,32,Failure
56857,90157,5/12/22 3:27,66,Success
56858,90158,12/16/22 1:21,15,Failure
56859,90159,4/22/22 19:00,32,Success
56860,90160,12/11/22 8:26,92,Success
56861,90161,6/26/22 20:45,67,Success
56862,90162,10/13/22 10:31,76,Failure
56863,90163,5/20/22 6:39,15,Success
56864,90164,10/3/22 10:47,98,Failure
56865,90165,8/16/22 1:48,82,Success
56866,90166,10/3/22 4:12,19,Success
56867,90167,4/3/23 19:10,75,Success
56868,90168,2/26/23 0:32,19,Failure
56869,90169,5/2/22 4:09,78,Success
56870,90170,11/25/22 2:12,55,Failure
56871,90171,2/4/23 16:32,24,Failure
56872,90172,2/15/23 7:05,14,Success
56873,90173,12/26/22 12:18,97,Success
56874,90174,8/13/22 23:11,96,Failure
56875,90175,9/30/22 5:27,28,Failure
56876,90176,12/28/22 5:25,63,Success
56877,90177,7/21/22 20:13,80,Success
56878,90178,1/13/23 12:56,44,Success
56879,90179,9/6/22 15:57,35,Failure
56880,90180,5/31/22 2:38,81,Failure
56881,90181,7/2/22 21:09,79,Success
56882,90182,10/17/22 0:00,64,Failure
56883,90183,11/3/22 23:36,92,Success
56884,90184,1/14/23 7:02,40,Success
56885,90185,5/22/22 1:05,59,Failure
56886,90186,12/11/22 21:02,60,Failure
56887,90187,7/21/22 1:10,44,Failure
56888,90188,7/21/22 21:34,65,Failure
56889,90189,8/5/22 17:51,25,Failure
56890,90190,1/2/23 13:47,19,Success
56891,90191,3/17/23 10:56,27,Failure
56892,90192,2/27/23 1:17,74,Failure
56893,90193,10/10/22 13:14,76,Failure
56894,90194,10/5/22 17:19,74,Success
56895,90195,10/27/22 10:21,79,Failure
56896,90196,9/9/22 23:04,10,Failure
56897,90197,1/28/23 17:46,75,Failure
56898,90198,11/25/22 14:50,66,Failure
56899,90199,12/6/22 3:25,99,Success
56900,90200,10/30/22 5:46,37,Success
56901,90201,12/20/22 21:07,78,Success
56902,90202,6/23/22 20:22,96,Failure
56903,90203,1/9/23 16:42,60,Failure
56904,90204,1/2/23 3:35,34,Failure
56905,90205,11/10/22 10:42,37,Failure
56906,90206,1/5/23 19:49,24,Success
56907,90207,2/5/23 3:02,58,Success
56908,90208,3/30/23 6:26,95,Failure
56909,90209,1/8/23 2:40,14,Success
56910,90210,7/8/22 14:39,37,Failure
56911,90211,1/27/23 1:17,76,Success
56912,90212,12/12/22 17:19,42,Success
56913,90213,2/4/23 20:27,82,Failure
56914,90214,2/24/23 13:26,36,Success
56915,90215,2/18/23 14:12,58,Failure
56916,90216,8/27/22 20:47,14,Success
56917,90217,5/30/22 2:38,61,Failure
56918,90218,1/18/23 11:20,73,Success
56919,90219,8/26/22 3:02,47,Success
56920,90220,10/22/22 8:38,80,Failure
56921,90221,4/28/22 16:33,73,Success
56922,90222,11/11/22 13:04,24,Success
56923,90223,3/23/23 10:57,63,Success
56924,90224,9/22/22 3:11,48,Success
56925,90225,8/25/22 15:27,25,Success
56926,90226,10/11/22 15:16,68,Failure
56927,90227,9/21/22 3:03,67,Success
56928,90228,8/8/22 18:49,54,Failure
56929,90229,12/21/22 15:45,56,Success
56930,90230,6/2/22 18:26,35,Success
56931,90231,3/6/23 18:24,75,Success
56932,90232,11/24/22 14:25,40,Failure
56933,90233,10/22/22 16:31,52,Failure
56934,90234,1/21/23 8:23,80,Success
56935,90235,12/7/22 0:45,78,Success
56936,90236,1/3/23 7:13,13,Success
56937,90237,3/20/23 12:08,83,Failure
56938,90238,5/17/22 12:35,66,Success
56939,90239,12/7/22 2:40,69,Failure
56940,90240,1/8/23 1:28,86,Success
56941,90241,3/8/23 15:26,72,Success
56942,90242,9/21/22 4:46,10,Failure
56943,90243,12/14/22 2:00,62,Failure
56944,90244,2/18/23 0:22,28,Success
56945,90245,9/17/22 23:35,58,Success
56946,90246,9/7/22 8:42,69,Failure
56947,90247,6/30/22 20:50,57,Failure
56948,90248,12/5/22 12:42,13,Failure
56949,90249,1/14/23 5:05,64,Success
56950,90250,8/15/22 21:59,84,Failure
56951,90251,6/10/22 2:07,87,Success
56952,90252,7/16/22 18:30,77,Success
56953,90253,9/10/22 4:26,14,Success
56954,90254,8/17/22 11:09,47,Success
56955,90255,9/8/22 21:23,66,Failure
56956,90256,6/9/22 4:23,96,Failure
56957,90257,11/3/22 3:42,90,Success
56958,90258,1/18/23 4:58,97,Failure
56959,90259,12/4/22 19:34,55,Failure
56960,90260,8/9/22 22:59,89,Failure
56961,90261,7/3/22 15:27,90,Failure
56962,90262,1/19/23 1:36,50,Failure
56963,90263,3/31/23 9:26,73,Success
56964,90264,12/14/22 12:59,95,Success
56965,90265,10/12/22 14:45,98,Success
56966,90266,1/6/23 0:07,65,Success
56967,90267,8/29/22 20:50,10,Failure
56968,90268,2/11/23 0:30,44,Failure
56969,90269,3/14/23 20:13,89,Success
56970,90270,6/17/22 12:41,20,Failure
56971,90271,12/31/22 7:14,77,Failure
56972,90272,10/1/22 19:55,85,Failure
56973,90273,12/23/22 9:48,60,Success
56974,90274,12/6/22 12:24,14,Success
56975,90275,12/6/22 12:34,71,Failure
56976,90276,11/19/22 0:31,38,Failure
56977,90277,6/13/22 10:38,45,Failure
56978,90278,1/2/23 5:37,32,Success
56979,90279,4/17/22 7:02,99,Success
56980,90280,9/25/22 13:46,33,Success
56981,90281,5/1/22 13:30,41,Success
56982,90282,12/30/22 23:35,27,Failure
56983,90283,7/17/22 2:18,87,Success
56984,90284,5/13/22 8:34,25,Success
56985,90285,2/18/23 1:08,60,Success
56986,90286,6/28/22 11:35,84,Success
56987,90287,2/1/23 14:47,74,Success
56988,90288,12/21/22 7:07,63,Failure
56989,90289,10/21/22 5:27,48,Failure
56990,90290,2/6/23 7:04,47,Success
56991,90291,3/23/23 16:40,38,Failure
56992,90292,4/17/22 1:32,20,Failure
56993,90293,12/3/22 10:51,77,Success
56994,90294,5/22/22 1:33,53,Failure
56995,90295,12/18/22 11:10,17,Failure
56996,90296,4/23/22 11:13,52,Success
56997,90297,4/18/22 12:23,88,Success
56998,90298,6/26/22 17:32,31,Failure
56999,90299,8/26/22 18:01,62,Failure
57000,90300,5/24/22 12:51,99,Failure
57001,90301,3/31/23 11:00,67,Success
57002,90302,5/9/22 21:04,74,Failure
57003,90303,12/20/22 19:30,91,Failure
57004,90304,11/21/22 4:29,47,Failure
57005,90305,8/1/22 10:07,90,Failure
57006,90306,9/22/22 16:30,42,Failure
57007,90307,11/14/22 20:02,56,Success
57008,90308,9/8/22 13:32,35,Success
57009,90309,12/16/22 20:38,69,Success
57010,90310,9/25/22 3:55,29,Failure
57011,90311,11/3/22 18:50,46,Failure
57012,90312,5/7/22 9:39,14,Failure
57013,90313,8/6/22 4:46,46,Failure
57014,90314,12/23/22 2:42,81,Failure
57015,90315,1/21/23 13:29,20,Success
57016,90316,9/12/22 18:48,26,Success
57017,90317,12/19/22 6:13,44,Success
57018,90318,3/18/23 12:34,53,Success
57019,90319,7/25/22 19:45,95,Success
57020,90320,3/15/23 3:50,83,Success
57021,90321,4/29/22 9:21,86,Failure
57022,90322,7/27/22 23:14,46,Success
57023,90323,4/13/22 22:12,41,Success
57024,90324,6/20/22 22:00,35,Success
57025,90325,3/5/23 14:11,48,Failure
57026,90326,5/29/22 3:39,92,Failure
57027,90327,4/2/23 11:44,78,Success
57028,90328,1/18/23 6:41,58,Success
57029,90329,5/28/22 13:26,26,Success
57030,90330,10/19/22 0:30,76,Success
57031,90331,8/30/22 16:46,34,Success
57032,90332,10/21/22 15:25,25,Success
57033,90333,4/18/22 17:17,76,Success
57034,90334,3/4/23 21:23,94,Success
57035,90335,7/15/22 11:33,37,Success
57036,90336,2/9/23 2:23,55,Success
57037,90337,7/6/22 18:01,73,Failure
57038,90338,7/23/22 19:59,68,Failure
57039,90339,3/28/23 5:35,88,Failure
57040,90340,12/7/22 2:06,50,Failure
57041,90341,6/28/22 3:45,95,Failure
57042,90342,12/13/22 14:38,40,Success
57043,90343,8/5/22 17:34,34,Success
57044,90344,8/13/22 10:41,64,Failure
57045,90345,5/31/22 23:43,11,Success
57046,90346,2/5/23 3:54,53,Failure
57047,90347,5/27/22 23:45,85,Failure
57048,90348,4/1/23 4:32,94,Failure
57049,90349,10/14/22 16:22,61,Success
57050,90350,4/13/22 2:27,65,Failure
57051,90351,7/21/22 10:41,92,Success
57052,90352,6/30/22 8:09,69,Failure
57053,90353,5/29/22 17:24,74,Success
57054,90354,6/9/22 6:46,88,Failure
57055,90355,4/9/22 16:15,91,Failure
57056,90356,9/30/22 19:42,72,Failure
57057,90357,5/29/22 21:50,10,Success
57058,90358,4/3/23 13:38,57,Failure
57059,90359,11/16/22 15:02,58,Failure
57060,90360,2/27/23 7:07,21,Failure
57061,90361,9/25/22 0:04,33,Failure
57062,90362,1/13/23 1:01,61,Success
57063,90363,5/14/22 14:25,95,Failure
57064,90364,9/19/22 17:42,68,Success
57065,90365,11/5/22 11:17,65,Success
57066,90366,6/2/22 11:23,27,Failure
57067,90367,10/28/22 22:33,68,Success
57068,90368,4/12/22 9:45,48,Success
57069,90369,12/4/22 3:34,44,Failure
57070,90370,12/7/22 19:21,26,Success
57071,90371,3/16/23 3:19,38,Success
57072,90372,10/4/22 21:21,24,Success
57073,90373,12/15/22 23:10,33,Failure
57074,90374,3/4/23 14:19,61,Success
57075,90375,2/5/23 20:11,82,Failure
57076,90376,2/3/23 13:51,30,Failure
57077,90377,5/30/22 0:46,33,Success
57078,90378,7/24/22 9:14,66,Failure
57079,90379,8/25/22 8:26,11,Success
57080,90380,2/2/23 12:41,73,Success
57081,90381,11/3/22 16:30,74,Failure
57082,90382,12/5/22 4:10,69,Failure
57083,90383,2/17/23 7:56,76,Success
57084,90384,10/11/22 12:01,49,Failure
57085,90385,8/20/22 3:04,15,Failure
57086,90386,10/23/22 23:16,57,Failure
57087,90387,7/18/22 17:33,57,Failure
57088,90388,8/20/22 17:31,73,Failure
57089,90389,5/29/22 14:11,86,Success
57090,90390,10/16/22 22:31,38,Failure
57091,90391,7/27/22 2:36,77,Success
57092,90392,7/1/22 18:06,55,Success
57093,90393,7/12/22 13:57,41,Failure
57094,90394,6/14/22 4:50,22,Success
57095,90395,3/9/23 17:14,75,Success
57096,90396,2/27/23 22:05,78,Failure
57097,90397,7/12/22 11:50,73,Failure
57098,90398,4/29/22 17:38,61,Success
57099,90399,9/20/22 10:54,75,Failure
57100,90400,2/25/23 8:09,54,Failure
57101,90401,7/29/22 16:05,100,Success
57102,90402,12/6/22 21:11,78,Success
57103,90403,8/17/22 7:24,18,Success
57104,90404,8/29/22 10:12,97,Failure
57105,90405,1/5/23 12:44,25,Failure
57106,90406,3/24/23 7:05,99,Success
57107,90407,12/25/22 16:23,35,Success
57108,90408,6/5/22 14:27,89,Failure
57109,90409,9/27/22 0:30,53,Success
57110,90410,7/22/22 19:27,97,Failure
57111,90411,9/6/22 7:46,20,Failure
57112,90412,8/23/22 12:59,75,Failure
57113,90413,7/8/22 11:36,89,Success
57114,90414,12/19/22 12:01,34,Failure
57115,90415,3/13/23 1:07,65,Success
57116,90416,2/7/23 1:21,78,Failure
57117,90417,3/29/23 1:24,61,Failure
57118,90418,2/4/23 4:14,31,Success
57119,90419,2/12/23 0:52,19,Failure
57120,90420,6/6/22 23:26,30,Success
57121,90421,6/24/22 19:23,73,Success
57122,90422,6/4/22 20:02,70,Failure
57123,90423,6/17/22 5:28,70,Success
57124,90424,11/5/22 13:42,39,Failure
57125,90425,7/21/22 17:14,83,Failure
57126,90426,5/22/22 1:20,73,Success
57127,90427,12/6/22 18:43,69,Failure
57128,90428,5/18/22 17:15,44,Success
57129,90429,6/5/22 18:35,31,Failure
57130,90430,12/13/22 18:16,17,Failure
57131,90431,10/2/22 1:58,92,Success
57132,90432,2/18/23 9:33,75,Success
57133,90433,8/24/22 3:04,49,Success
57134,90434,5/1/22 1:34,40,Failure
57135,90435,12/15/22 14:01,26,Failure
57136,90436,4/5/23 3:13,33,Success
57137,90437,1/6/23 10:58,63,Failure
57138,90438,1/27/23 22:38,55,Failure
57139,90439,3/16/23 14:53,72,Success
57140,90440,1/15/23 17:07,50,Success
57141,90441,11/13/22 9:41,45,Success
57142,90442,8/8/22 4:30,40,Failure
57143,90443,12/13/22 5:12,98,Failure
57144,90444,1/16/23 17:05,13,Failure
57145,90445,2/27/23 12:49,55,Success
57146,90446,5/2/22 16:25,75,Success
57147,90447,9/6/22 2:06,96,Success
57148,90448,12/3/22 0:57,91,Failure
57149,90449,11/11/22 8:23,89,Success
57150,90450,8/5/22 12:57,22,Failure
57151,90451,5/13/22 7:12,88,Failure
57152,90452,9/10/22 11:14,18,Failure
57153,90453,9/26/22 18:30,34,Failure
57154,90454,3/26/23 13:44,100,Success
57155,90455,11/12/22 11:16,89,Failure
57156,90456,6/24/22 18:36,39,Failure
57157,90457,11/28/22 15:52,99,Failure
57158,90458,5/16/22 7:14,39,Failure
57159,90459,10/14/22 3:54,46,Failure
57160,90460,12/11/22 13:11,50,Failure
57161,90461,12/22/22 15:53,28,Success
57162,90462,1/4/23 8:57,18,Success
57163,90463,10/10/22 20:08,14,Success
57164,90464,7/28/22 13:51,13,Success
57165,90465,11/12/22 18:58,36,Failure
57166,90466,1/21/23 2:36,12,Failure
57167,90467,4/17/22 17:04,36,Failure
57168,90468,4/23/22 6:45,18,Success
57169,90469,10/8/22 19:30,27,Success
57170,90470,12/24/22 14:31,36,Failure
57171,90471,10/9/22 20:23,90,Success
57172,90472,11/28/22 22:13,54,Failure
57173,90473,2/13/23 10:56,74,Failure
57174,90474,1/3/23 8:51,61,Success
57175,90475,2/17/23 6:13,77,Failure
57176,90476,7/26/22 22:56,93,Success
57177,90477,6/8/22 2:20,71,Failure
57178,90478,8/26/22 5:09,38,Failure
57179,90479,3/25/23 13:17,67,Success
57180,90480,11/12/22 16:29,79,Success
57181,90481,5/30/22 3:17,87,Success
57182,90482,7/17/22 4:55,59,Failure
57183,90483,5/1/22 11:29,10,Failure
57184,90484,10/17/22 4:20,90,Failure
57185,90485,4/29/22 22:51,21,Success
57186,90486,10/6/22 16:55,87,Failure
57187,90487,4/26/22 11:03,58,Success
57188,90488,11/10/22 3:42,54,Failure
57189,90489,4/17/22 16:51,53,Success
57190,90490,12/3/22 12:30,77,Success
57191,90491,6/3/22 16:25,15,Failure
57192,90492,8/26/22 21:47,63,Failure
57193,90493,6/11/22 1:39,49,Success
57194,90494,6/26/22 14:59,50,Failure
57195,90495,12/26/22 9:39,20,Success
57196,90496,7/26/22 22:14,61,Failure
57197,90497,12/4/22 11:30,91,Failure
57198,90498,11/18/22 8:59,92,Success
57199,90499,5/15/22 17:48,27,Failure
57200,90500,2/9/23 4:06,95,Failure